,ISO_A3,Year,Origin,Refugees,Asylum-seekers,IDPs,Others in need,Stateless,Host Community,Others of concern,Displaced
0,-99,,,,,,,,,,
224,USA,2021.0,United States of America,426.0,1662.0,0.0,0.0,0.0,0.0,6.0,2094.0
225,UZB,2021.0,Uzbekistan,3014.0,4946.0,0.0,0.0,0.0,0.0,0.0,7960.0
226,VAT,2021.0,Holy See,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0
227,VCT,2021.0,Saint Vincent and the Grenadines,467.0,85.0,0.0,0.0,0.0,0.0,0.0,552.0
228,VEN,2021.0,Venezuela (Bolivarian Republic of),199202.0,971106.0,0.0,4406409.0,0.0,0.0,1389980.0,6966697.0
229,VGB,,,,,,,,,,
230,VIR,,,,,,,,,,
231,VNM,2021.0,Viet Nam,317737.0,10345.0,0.0,0.0,0.0,0.0,68.0,328150.0
232,VUT,2021.0,Vanuatu,0.0,172.0,0.0,0.0,0.0,0.0,0.0,172.0
233,WLF,,,,,,,,,,
234,WSM,2021.0,Samoa,5.0,160.0,0.0,0.0,0.0,0.0,0.0,165.0
235,YEM,2021.0,Yemen,37615.0,35462.0,4288739.0,0.0,0.0,0.0,23.0,4361839.0
236,ZAF,2021.0,South Africa,643.0,3556.0,0.0,0.0,0.0,0.0,6.0,4205.0
237,ZMB,2021.0,Zambia,255.0,489.0,0.0,0.0,0.0,0.0,5.0,749.0
238,ZWE,2021.0,Zimbabwe,8115.0,13513.0,0.0,0.0,0.0,0.0,137.0,21765.0
