,ISO_A3,Total_Budget,Expenditure,Funded,Year,Displaced,$ Per Displaced Person
0,-99,,,,,,
71,FLK,,,,,,
72,FRA,3866795.0,,,2022.0,693598.0,
73,FRO,,,,,,
74,FSM,,,,,,
75,GAB,,,,2022.0,280.0,
76,GBR,2593097.0,,,2022.0,501948.0,
77,GEO,5836022.0,,,2022.0,322250.0,
78,GGY,,,,,,
79,GHA,6985148.0,,,2022.0,11048.0,
80,GIB,,,,,,
81,GIN,,,,2022.0,2252.0,
82,GMB,,,,2022.0,3883.0,
83,GNB,,,,2022.0,54.0,
84,GNQ,,,,,,
85,GRC,61499999.0,23982495.0,39.0,2022.0,191029.0,125.5437394322328
86,GRD,,,,2022.0,234.0,
87,GRL,,,,,,
88,GTM,42474638.0,,,2022.0,555281.0,
89,GUM,,,,,,
90,GUY,,,,2022.0,24010.0,
91,HKG,,,,2022.0,285.0,
92,HMD,,,,,,
93,HND,28639889.0,,,2022.0,440339.0,
94,HRV,1792213.0,,,2022.0,22785.0,
95,HTI,,,,,,
96,HUN,5344921.0,,,2022.0,35527.0,
97,IDN,12475111.0,,,2022.0,13779.0,
98,IMN,,,,,,
99,IND,14217175.0,,,2022.0,280220.0,
100,IOT,,,,,,
101,IRL,,,,2022.0,96385.0,
102,IRN,119394267.0,86830050.0,72.73,2022.0,3425159.0,25.350662553183664
103,IRQ,347358667.0,147408996.0,42.44,2022.0,1502061.0,98.13782263170404
104,ISL,,,,2022.0,6285.0,
105,ISR,7541938.0,,,2022.0,68009.0,
106,ITA,18951804.0,,,2022.0,379158.0,
107,JAM,,,,2022.0,98.0,
108,JEY,,,,,,
109,JOR,408378184.0,206367638.0,50.53,2022.0,744387.0,277.2316523528756
110,JPN,4130706.0,,,2022.0,30387.0,
111,KAZ,8751400.0,5991417.0,68.46,2022.0,9717.0,616.5912318616857
112,KEN,145519917.0,84386980.0,57.99,2022.0,1078815.0,78.22191942084602
113,KGZ,,,,2022.0,1146.0,
114,KHM,,,,2022.0,75036.0,
115,KIR,,,,,,
116,KNA,,,,2022.0,60.0,
117,KOR,2307913.0,,,2022.0,20018.0,
118,KWT,,,,2022.0,93657.0,
119,LAO,,,,,,
120,LBN,534326135.0,298317525.0,55.83,2022.0,850452.0,350.7752642124423
121,LBR,15477395.0,,,2022.0,1441.0,
122,LBY,70000000.0,37963396.0,54.23,2022.0,206330.0,183.9935830950419
123,LCA,,,,,,
124,LIE,,,,2022.0,530.0,
